,title,price,year,link,brand,age,log_price,log_year,title,name,text
0,wave armor drive on pwc and boat ports,2200,,https://charlottesville.craigslist.org/boa/d/greenville-wave-armor-drive-on-pwc-and/7783072304.html,missing,,7.696212639346407,,missing,missing,Tired of hauling your boat or PWC to the ramp? These awesome boat and PWC ports are easy to use and simple.  Smooth rollers and foam filled.Fits all PWCs and have models for boats and pontoons! Prices start at $2200. Contact us for a custom quote. We also provide delivery and assistance.
1,john boat 3 trolling motors and battery,800,,https://charlottesville.craigslist.org/boa/d/louisa-john-boat-trolling-motors-and/7789738927.html,missing,,6.684611727667927,,missing,missing,John boat with 2 older min kota trolling motors and one game fisher sears roebuck trolling motor and a battery
2,jon boat and vee bottom boat,200,,https://charlottesville.craigslist.org/boa/d/afton-jon-boat-and-vee-bottom-boat/7789458297.html,missing,,5.298317366548036,,missing,missing,"2 boats, both all metal, jon boat flat bottom green and silver vee bottom boat, also have another vee bottom boat and trailer"
3,14ft jon boat crestliner,2850,,https://charlottesville.craigslist.org/boa/d/dyke-14ft-jon-boat-crestliner/7788741592.html,missing,,7.955074273262696,,missing,missing,"14ft wide jon boat. Newer floor system and outdoor carpet. New seats. Fish finder, front foot control trolling motor, rear trolling motor new. Nothing wrong with boat, no time to use it. Title for boat and trailer in hand."
4,triton tr-175 fishing boat,6500,,https://charlottesville.craigslist.org/boa/d/palmyra-triton-tr-175-fishing-boat/7788483767.html,missing,,8.779557455883728,,missing,missing,"2005 Triton TR-175 fishing boat with Mercury 115hp outboard motor (90 hours), trailer with new tires, trolling motor, Lowrance fish finder, boat & motor cover. Runs great. $6500 negotiable.  show contact info"
5,outboard motor for sale!!!,1600,,https://charlottesville.craigslist.org/boa/d/scottsville-outboard-motor-for-sale/7787775340.html,missing,,7.3777589082278725,,missing,missing,Im am selling my Tohatsu/Mercury 9.8 outboard. It is a 2023 model. It has a 15 inch shaft. I bought it brand new in 2023. It has only has 16 hours on it. I have done all of the service correct break inComes with fuel tank owners manual and tool kit as well. It has only been used in fresh water. Im am selling it because I bought a bigger boat and don’t need two boats with gas outboards Asking 1600 or best offer. Feel free to email or text me.    
6,rinker boat for sale,2500,,https://charlottesville.craigslist.org/boa/d/palmyra-rinker-boat-for-sale/7787737184.html,missing,,7.824046010856292,,missing,missing,Rinker boat for sale.Posting for my father in law.Call for details.434 5eight9-2 eight50    
7,19ft rinker,0,,https://charlottesville.craigslist.org/boa/d/louisa-19ft-rinker/7778481819.html,missing,,-inf,,missing,missing,"I have a 19ft Rinker boat, just replaced engine so it only has about 50hrs on it. Comes with trailer, both are titled! Make me offer or will trade for campers, cars, etc...  Just let me know what you got."
8,"2-person intex inflatable kayak, well made, fit any car trunks",180,,https://charlottesville.craigslist.org/boa/d/charlottesville-person-intex-inflatable/7786901830.html,missing,,5.19295685089021,,missing,missing,"For sale a 2-person INTEX Excursion Pro Inflatable Kayak Set: Includes Deluxe 86in Kayak Paddles and High-Output Pump – SuperTough PVC – Adjustable Bucket Seat, Life Jackets x2, this is the top of the line of the Intex models. In excellent conditionOwner's Manual link - https://m.media-amazon.com/images/I/B1CbWnTcV7L.pdfHas very good reviews on Amazon, high quality material is used for this particular model, can withstand most scrapes. Use only 3 times. Selling due to having too many kayaks. Will fit into any car trunks without any problem. Carry bag does has a tear so will not zipper properly.UPPER-TOUGH – 3-ply laminate construction combined with SuperStrong enhanced molecular formulation PVC provides superior structural strength and unmatched resistance to damage from abrasion, impact and sunlight, while allowing more pressure for rigiditySTABILITY and MANEUVERABILITY – High-pressure inflation provides extra rigidity and stability, with spring-loaded valves for easy inflation and fast deflation; the two removable skegs included allows for optimal manuverability in deep or shallow waterSTORAGE – Extra space in the bow and stern allows for storing any necessities for your adventure; stainless steel D-rings also allow the safety and ease of tying down dry bags and gear2 PERSON CAPACITY – Inflated boat size is 12.7 feet x 3.1 feet x 1.6 feet with a weight capacity of 400 pounds which can be used solo or tandem; easily foldable to be put in the carry bag that allows for easy transportation"
9,11ft coleman kayak,135,,https://charlottesville.craigslist.org/boa/d/charlottesville-11ft-coleman-kayak/7786450174.html,missing,,4.90527477843843,,missing,missing,"11 foot Coleman open cockpit kayak ,, in great shape,,,Trek model….I have too many boats,,, ,,,, please use the word,,,,,,,,,,,,,,,,,,,,,boat,,,,,,,,,,, in any response,,,Yes,,,  it has a cup holder!!!!    "
