,title,price,year,link,brand,age
0,14ft jon boat crestliner,2850,,https://charlottesville.craigslist.org/boa/d/dyke-14ft-jon-boat-crestliner/7788741592.html,missing,
1,wave armor drive on pwc and boat ports,2200,,https://charlottesville.craigslist.org/boa/d/greenville-wave-armor-drive-on-pwc-and/7783072304.html,missing,
2,triton tr-175 fishing boat,6500,,https://charlottesville.craigslist.org/boa/d/palmyra-triton-tr-175-fishing-boat/7788483767.html,missing,
3,outboard motor for sale!!!,1600,,https://charlottesville.craigslist.org/boa/d/scottsville-outboard-motor-for-sale/7787775340.html,missing,
4,rinker boat for sale,2500,,https://charlottesville.craigslist.org/boa/d/palmyra-rinker-boat-for-sale/7787737184.html,missing,
5,19ft rinker,0,,https://charlottesville.craigslist.org/boa/d/louisa-19ft-rinker/7778481819.html,missing,
6,"2-person intex inflatable kayak, well made, fit any car trunks",180,,https://charlottesville.craigslist.org/boa/d/charlottesville-person-intex-inflatable/7786901830.html,missing,
7,11ft coleman kayak,135,,https://charlottesville.craigslist.org/boa/d/charlottesville-11ft-coleman-kayak/7786450174.html,missing,
8,kayak single seat,170,,https://charlottesville.craigslist.org/boa/d/crozet-kayak-single-seat/7786228133.html,missing,
9,10’ kayak sun dolphin,160,,https://charlottesville.craigslist.org/boa/d/crozet-10-kayak-sun-dolphin/7786226332.html,missing,
10,2018 alumacraft competitor 205 tiller,35000,2018.0,https://charlottesville.craigslist.org/boa/d/palmyra-2018-alumacraft-competitor-205/7785951124.html,missing,7.0
11,2021tidewater 232 lxf,79999,2021.0,https://charlottesville.craigslist.org/bod/d/reedville-2021tidewater-232-lxf/7785727613.html,missing,4.0
12,2010 carolina skiff 218 dlv,18995,2010.0,https://charlottesville.craigslist.org/bod/d/gloucester-2010-carolina-skiff-218-dlv/7785718051.html,missing,15.0
13,buddy davis 28,134999,,https://charlottesville.craigslist.org/bod/d/mathews-buddy-davis-28/7785437405.html,missing,
14,kayak- dagger zydeco  9.0,175,,https://charlottesville.craigslist.org/boa/d/charlottesville-kayak-dagger-zydeco-90/7785060990.html,missing,
15,jon boat,800,,https://charlottesville.craigslist.org/boa/d/crozet-jon-boat/7784154151.html,missing,
16,lincoln kayak,999,,https://charlottesville.craigslist.org/boa/d/charlottesville-lincoln-kayak/7783476457.html,missing,
17,kayak,40,,https://charlottesville.craigslist.org/boa/d/troy-kayak/7783168286.html,missing,
18,sea eagle inflatable kayak for sale,230,,https://charlottesville.craigslist.org/boa/d/charlottesville-sea-eagle-inflatable/7782921039.html,missing,
19,baja h2x,25000,,https://charlottesville.craigslist.org/boa/d/virginia-beach-baja-h2x/7779285601.html,missing,
20,nucanoe frontier 12 fishing kayak,1300,,https://charlottesville.craigslist.org/boa/d/troy-nucanoe-frontier-12-fishing-kayak/7782427859.html,missing,
21,old town canoe w/ seats and paddles,600,,https://charlottesville.craigslist.org/boa/d/crozet-old-town-canoe-seats-and-paddles/7781701276.html,missing,
22,2010 trophy 2102 wa,18999,2010.0,https://charlottesville.craigslist.org/bod/d/mathews-2010-trophy-2102-wa/7781638759.html,trophy,15.0
23,bass hunter 120 pontoon 2 person boat,4300,,https://charlottesville.craigslist.org/boa/d/quinque-bass-hunter-120-pontoon-person/7781428637.html,missing,
24,grady white 22,24999,,https://charlottesville.craigslist.org/bod/d/grimstead-grady-white-22/7781322315.html,missing,
25,grady white 282 repowered 2017 low hour yamaha 250s,84999,2017.0,https://charlottesville.craigslist.org/bod/d/deltaville-grady-white-282-repowered/7781321922.html,yamaha,8.0
26,carolina skiff 198,11999,,https://charlottesville.craigslist.org/bod/d/reedville-carolina-skiff-198/7781321714.html,missing,
27,16 52 express hd 90hp yamaha jet,10500,,https://charlottesville.craigslist.org/boa/d/scottsville-express-hd-90hp-yamaha-jet/7779960223.html,yamaha,
28,90 hp yamaha outboard jet,10000,,https://charlottesville.craigslist.org/boa/d/scottsville-90-hp-yamaha-outboard-jet/7778851753.html,yamaha,
29,2011 crestliner super hawk 1600 75hp honda,14000,2011.0,https://charlottesville.craigslist.org/boa/d/orange-2011-crestliner-super-hawk-hp/7778344435.html,honda,14.0
30,coan river marina,1,,https://charlottesville.craigslist.org/boa/d/lottsburg-coan-river-marina/7771455360.html,missing,
31,2004 mariah sx 22,9500,2004.0,https://charlottesville.craigslist.org/boa/d/montpelier-station-2004-mariah-sx-22/7777277997.html,mariah,21.0
32,pelican vortex 80x,200,,https://charlottesville.craigslist.org/boa/d/white-hall-pelican-vortex-80x/7776343019.html,missing,
33,riot voyager kayak,300,,https://charlottesville.craigslist.org/boa/d/white-hall-riot-voyager-kayak/7776340440.html,missing,
34,perception carolina ii tandem kayak,650,,https://charlottesville.craigslist.org/boa/d/charlottesville-perception-carolina-ii/7776002236.html,missing,
35,2002 yamaha waverunner xlt800,3200,2002.0,https://charlottesville.craigslist.org/boa/d/batesville-2002-yamaha-waverunner-xlt800/7775880931.html,yamaha,23.0
